X,Y,Z,EDA,HR,TEMP,id,datetime,label
-40.0,-5.0,50.0,0.175511,71.37,30.41,5C,2020-05-08 22:15:50.437499904,1.0
-29.0,3.0,57.0,0.169362,110.72,29.37,5C,2020-06-24 14:29:17.687500032,2.0
-65.0,6.0,-6.0,0.175489,76.8,28.85,5C,2020-06-23 18:54:53.875000064,0.0
-48.0,34.0,-18.0,0.356146,83.9,30.69,5C,2020-05-08 22:22:40.156250112,1.0
-22.0,-43.0,127.0,20.047886,86.42,36.55,5C,2020-04-14 22:35:00.062500096,1.0
-22.0,-43.0,127.0,20.478939,76.18,36.57,5C,2020-04-14 22:36:55.656250112,1.0
-32.0,10.0,54.0,1.741764,88.37,32.29,15,2020-07-31 20:02:45.343749888,2.0
-22.0,-43.0,127.0,19.164715,91.88,36.53,5C,2020-04-14 22:43:45.031249920,1.0
18.0,53.0,29.0,10.899996,86.25,32.37,15,2020-07-24 13:17:42.750000128,2.0
-57.0,23.0,18.0,0.071737,103.82,29.87,5C,2020-06-24 14:47:16.624999936,2.0
-64.0,2.0,8.0,0.309989,77.43,29.13,5C,2020-06-23 19:19:01.437499904,0.0
40.0,44.0,19.0,0.302303,133.2,28.79,5C,2020-06-23 20:52:09.375000064,0.0
-29.0,12.0,56.0,0.322798,71.75,29.25,5C,2020-06-23 18:06:50.718749952,1.0
-63.0,12.0,1.0,0.129383,78.22,28.17,5C,2020-06-24 15:29:17.156250112,2.0
-28.0,11.0,56.0,0.321517,71.37,29.27,5C,2020-06-23 18:06:29.718749952,1.0
-89.0,14.0,-5.0,4.295547,96.67,34.03,15,2020-07-21 13:25:36.656250112,0.0
-61.0,11.0,127.0,9.724826,111.88,35.0,5C,2020-04-14 22:52:13.249999872,1.0
-33.0,-17.0,48.0,3.308151,72.9,34.27,15,2020-07-22 20:43:10.593750016,2.0
-76.0,-6.0,18.0,3.035892,91.08,34.65,15,2020-07-22 21:13:30.375000064,2.0
-30.0,13.0,55.0,0.318955,72.47,29.25,5C,2020-06-23 18:06:55.062500096,1.0
-53.0,29.0,-13.0,0.436855,96.08,30.81,5C,2020-05-08 22:24:48.249999872,1.0
-42.0,8.0,47.0,0.152442,60.23,28.79,5C,2020-06-24 15:09:34.031249920,2.0
-30.0,22.0,52.0,2.547777,77.1,32.53,15,2020-07-31 20:10:43.062500096,2.0
-23.0,-6.0,54.0,1.872546,85.38,35.05,15,2020-07-22 21:00:49.093750016,2.0
-22.0,-44.0,127.0,20.345713,87.02,36.55,5C,2020-04-14 22:42:38.875000064,1.0
-22.0,-43.0,127.0,20.41745,76.8,36.57,5C,2020-04-14 22:36:51.781250048,1.0
-33.0,-21.0,50.0,4.095919,93.03,34.29,15,2020-07-22 20:45:35.312499968,2.0
-32.0,1.0,56.0,0.226755,77.08,30.61,5C,2020-05-08 22:16:57.156250112,1.0
-22.0,-43.0,127.0,19.310753,91.88,36.53,5C,2020-04-14 22:43:34.656250112,1.0
-2.0,58.0,26.0,0.370193,73.92,28.81,5C,2020-06-23 17:54:23.937499904,1.0
-8.0,-56.0,-27.0,0.371519,83.87,30.69,5C,2020-05-08 22:21:02.750000128,1.0
-65.0,-6.0,1.0,0.301022,84.75,28.51,5C,2020-06-23 20:16:20.375000064,0.0
5.0,58.0,27.0,0.398374,62.0,28.91,5C,2020-06-23 17:59:28.781250048,1.0
-62.0,12.0,127.0,9.846523,103.45,35.0,5C,2020-04-14 22:52:01.593750016,1.0
-9.0,50.0,39.0,0.502549,97.55,32.15,15,2020-07-21 16:28:13.968750080,2.0
-18.0,-14.0,59.0,0.312551,90.85,28.59,5C,2020-06-23 18:43:49.843749888,0.0
-35.0,-13.0,127.0,5.780987,110.33,36.27,5C,2020-04-14 22:57:03.906249984,1.0
23.0,59.0,16.0,0.209074,84.82,29.47,5C,2020-06-24 14:41:42.281250048,2.0
-55.0,9.0,23.0,0.534582,88.4,32.05,15,2020-07-21 16:26:01.687500032,2.0
-23.0,-44.0,127.0,20.581421,87.67,36.57,5C,2020-04-14 22:36:16.124999936,1.0
-63.0,6.0,14.0,0.342012,76.88,28.67,5C,2020-06-23 20:41:08.375000064,0.0
-30.0,0.0,55.0,0.468826,96.75,28.73,5C,2020-06-23 20:43:05.687500032,0.0
-28.0,-6.0,67.0,0.293336,73.12,29.13,5C,2020-06-23 19:54:11.124999936,0.0
-39.0,-1.0,51.0,0.285668,105.47,31.13,5C,2020-06-24 13:57:26.156250112,2.0
11.0,16.0,66.0,0.384284,109.05,29.05,5C,2020-06-23 19:28:45.343749888,0.0
20.0,60.0,4.0,0.260032,66.82,28.79,5C,2020-06-23 20:06:55.875000064,0.0
-22.0,-5.0,59.0,0.39325,72.72,29.35,5C,2020-06-23 19:39:05.531249920,0.0
-52.0,-4.0,-49.0,0.460265,78.35,32.84,15,2020-07-21 16:20:13.531249920,2.0
-23.0,16.0,61.0,0.635807,60.5,31.85,15,2020-07-21 16:42:07.312499968,2.0
51.0,-31.0,127.0,14.75548,104.18,35.57,5C,2020-04-14 22:47:30.093750016,1.0
-22.0,-43.0,127.0,20.271414,81.55,36.55,5C,2020-04-14 22:38:58.468750080,1.0
-23.0,-1.0,59.0,0.400936,79.8,29.03,5C,2020-06-23 17:56:41.624999936,1.0
-20.0,-3.0,60.0,0.430398,60.22,28.77,5C,2020-06-23 17:58:54.156250112,1.0
-56.0,11.0,17.0,0.151418,71.12,28.71,5C,2020-06-23 19:42:25.624999936,0.0
-65.0,0.0,127.0,7.978651,114.82,35.11,5C,2020-04-14 22:53:38.843749888,1.0
-64.0,4.0,11.0,0.226727,68.28,28.77,5C,2020-06-23 18:25:54.812499968,0.0
-22.0,-44.0,127.0,19.550303,86.97,36.57,5C,2020-04-14 22:33:42.968750080,1.0
-66.0,12.0,23.0,2.317417,73.0,33.95,15,2020-07-08 13:46:18.843749888,2.0
-47.0,-13.0,127.0,6.438325,117.28,35.71,5C,2020-04-14 22:55:23.156250112,1.0
-33.0,-78.0,7.0,3.370933,83.87,33.71,15,2020-07-22 21:29:59.437499904,2.0
-39.0,11.0,51.0,0.177048,83.72,29.73,5C,2020-06-24 14:22:24.093750016,2.0
-56.0,-26.0,127.0,9.594162,78.53,35.15,5C,2020-04-14 22:50:47.875000064,1.0
-46.0,3.0,44.0,0.128102,87.38,29.79,5C,2020-06-24 14:50:22.968750080,2.0
-43.0,5.0,48.0,0.537145,73.07,32.33,15,2020-07-21 16:34:06.000000000,2.0
-43.0,47.0,16.0,0.433012,88.3,30.81,5C,2020-05-08 22:25:17.968750080,1.0
-22.0,-43.0,127.0,19.262074,91.98,36.53,5C,2020-04-14 22:43:52.249999872,1.0
-38.0,-4.0,51.0,0.276684,87.48,28.91,5C,2020-06-23 19:56:02.875000064,0.0
20.0,60.0,6.0,0.260032,67.02,28.79,5C,2020-06-23 20:06:49.124999936,0.0
-63.0,-4.0,19.0,0.31127,75.67,28.95,5C,2020-06-23 19:15:22.843749888,0.0
-24.0,-20.0,55.0,0.159114,106.18,29.73,5C,2020-06-24 14:24:01.000000000,2.0
-52.0,-4.0,35.0,2.45153,74.48,33.09,15,2020-07-22 21:26:29.812499968,2.0
-20.0,-4.0,61.0,0.429117,59.38,28.77,5C,2020-06-23 17:58:50.468750080,1.0
-60.0,-4.0,23.0,3.811718,70.47,31.79,15,2020-07-08 14:10:31.906249984,2.0
-14.0,-50.0,25.0,0.295916,112.37,30.33,5C,2020-06-24 14:05:52.468750080,2.0
-43.0,8.0,47.0,0.152442,59.45,28.79,5C,2020-06-24 15:09:32.468750080,2.0
3.0,58.0,27.0,0.342012,62.43,29.01,5C,2020-06-23 19:36:36.062500096,0.0
-35.0,40.0,17.0,0.546249,79.75,32.0,15,2020-07-24 14:04:31.093750016,2.0
-51.0,8.0,30.0,0.184734,108.27,30.33,5C,2020-06-24 14:11:31.249999872,2.0
-16.0,-1.0,61.0,0.36635,79.92,28.95,5C,2020-06-23 19:02:42.156250112,0.0
-48.0,4.0,42.0,0.329203,93.28,28.77,5C,2020-06-23 18:35:50.781250048,0.0
-34.0,18.0,51.0,0.477793,71.23,28.57,5C,2020-06-23 20:49:59.281250048,0.0
-45.0,7.0,39.0,0.243676,84.78,30.89,5C,2020-05-08 22:26:59.875000064,1.0
-21.0,4.0,60.0,0.294617,72.72,28.75,5C,2020-06-23 18:27:51.156250112,0.0
-21.0,1.0,60.0,0.374036,71.57,28.83,5C,2020-06-23 19:31:34.281250048,0.0
-28.0,-58.0,-3.0,0.416357,92.3,30.75,5C,2020-05-08 22:24:14.687500032,1.0
-22.0,-43.0,127.0,19.336372,91.7,36.53,5C,2020-04-14 22:43:18.843749888,1.0
-64.0,11.0,7.0,0.144756,67.72,28.23,5C,2020-06-24 15:30:33.437499904,2.0
-6.0,-65.0,127.0,14.41729,105.9,35.5,5C,2020-04-14 22:47:56.562500096,1.0
-28.0,4.0,57.0,0.272841,77.05,28.63,5C,2020-06-23 18:51:46.218749952,0.0
18.0,56.0,23.0,0.286932,67.38,28.91,5C,2020-06-23 19:34:05.656250112,0.0
-22.0,-43.0,127.0,19.817303,78.33,36.53,5C,2020-04-14 22:40:21.031249920,1.0
